Name,Id,City,Zipcode,Address,Website,Email,Phone,Company Type,Postal Address, description,Twitter, Linkedin, Lognitude,Latitude,,,,,,,,,,,,
Administratiekantoor Practical & Personal ,32466,WIJK BIJ DUURSTEDE,3962AN,Karolingersweg,practicalpersonal.nl,marieke@prpe.nl,0343-756340,managerial,Karolingersweg 186,b'Logisch bezig met uw cijfers en uw fiscale situatie. Praktisch met cloudsoftware en interactieve boekhoudsoftware van Exact Online. Breed netwerk om van het best mogelijk advies te voorzien.',https://twitter.com/PenP_Marieke,https://www.linkedin.com/in/mariekescheepens?trk=hp-identity-photo,5.336723846,51.97643846,,,,,,,,,,,,
Stuurman Administratieve Dienstverlening,32585,WOUDENBERG,3931XJ,John F. Kennedylaan,http://www.sadienstverlening.nl/ ,info@sadienstverlening.nl,033 303 0090,managerial,John F. Kennedylaan 135,b'',,,5.404459167,52.08336667,,,,,,,,,,,,
AccountAnders Ermelo,33390,Ermelo,3852 NV,Staverdenseweg ,www.accountanders.nl,bovereem@accountanders.nl,085 760 8500,accounting,None,"b'Welkom bij h\xc3\xa9t alternatief voor uw accountant. Alles wat u als ondernemer nodig hebt om \xc3\xa9cht succesvol te zijn in \xc3\xa9\xc3\xa9n totaalpakket.&nbsp;Alles draait om het behalen van&nbsp;\xc3\xbaw doelen. We starten bij&nbsp;de strategie&nbsp;verzorgen uw administratie bieden u dagelijks actuele managementinformatie \xc3\xa9n onbeperkt advies door een&nbsp;businessfacilitator die dagelijks voor u klaar staat. Dit alles op basis van ""no growth no pay"". Bent u er klaar voor?'",@AccountAnders,http://www.linkedin.com/company/3270951?trk=tyah&trkInfo=tarId%3A1395919389035%2Ctas%3Aaccountanders%2Cidx%3A1-1-1,5.7388366,52.2859212,,,,,,,,,,,,
Administratiecollectief,33433,Leiden,2314 XS,Zaalbergweg,www.administratiecollectief.nl,JanVerbooy@administratiecollectief.nl,071-5127054,managerial,None,b'Uw boekhouding en belastingzaken zijn bij ons in vertrouwde handen. Toekomstgerichte kennis ruime ervaring van 30+ jaar perfecte kwaliteit en zekerheid (rust!)&nbsp;voor u als klant dat wij zo optimaal mogelijk presteren. Lid van de beroepsgroep RB. ',@JanVerbooy,Jan Verbooy,4.5040454,52.1432747,,,,,,,,,,,,
Administratiekantoor Zandwijken,33813,Aalsmeer,1432DJ,Thailandlaan,http://www.zandwijken.nl,info@zandwijken.nl,297820945,managerial,None,b'Wij zijn een modern administratiekantoor gevestigd in Aalsmeer. Wij bestaan sinds 2008 en we groeien nog steeds. Wij zijn altijd bezig met het verbeteren van administratieve processen binnen het MKB. Enerzijds door het adviseren van klanten anderzijds door gebruik te maken van moderne technieken en software.Gemak dient de mens. Bij ons zijn de lijnen altijd kort dus u krijgt direct antwoord en u spreekt altijd met iemand die alles weet van uw administratie. Geen onnodige vertragingen.',https://twitter.com/mzandwijken,https://www.linkedin.com/in/mitchellzandwijken,4.79473,52.26467,,,,,,,,,,,,
Adfin4u,33940,Woerden,3446XM,Schillingdreef 12,www.adfin4u.accountant,info@adfin4u.accountant,641569079,managerial,None,"b""Adfin4u is &nbsp;een online administratiekantoor dat zich richt op een brede doelgroep. Zowel voor de ZZP'er MKB ondernemers maar ook zeker ook voor particulieren. Transparant persoonlijk contact tegen een aantrekkelijke prijs.""",,,4.9026781,52.0786504,,,,,,,,,,,,
DBF Finance B.V.,33979,Oisterwijk,5061WK,Rozemarijn,http://www.dbffinance.nl,info@dbffinance.nl,085 3019092,managerial,None,"b""\r\nDBF Finance B.V. is een kleinschalige financieel dienstverlener voor het MKB en de ZZP'er. Vanuit een volledig digitale omgeving verzorgen wij uw volledige administratie. Vanaf het boeken van facturen tot het doen van de periodieke aangiftes Belastingen tot het maken van uitvoerige rapportages.Niet alleen voor het verwerken en beheren van Administraties is DBF Finance B.V. d\xc3\xa9 aangewezen partner ook voor Fiscaal en Financieel advies bent u bij ons aan het juiste adres. Onze jarenlange ervaring uitgebreide kennis van wetgeving regels en financi\xc3\xable processen zorgen er voor dat u als ondernemer vertrouwen en inzicht in uw administratie blijft houden.\r\nFISCAAL ADVIESDBF Finance B.V. heeft al vele jaren kennis van alle fiscale aspecten van het zaken doen. Onze specialisten helpen u graag bij het benutten van alle fiscale voordelen voor u als ondernemer. Daarnaast ondersteunen zij u graag bij het aangeven van de periodieke belastingen.FINANCIEEL EN ADMINISTRATIEFDBF Finance B.V. werkt met de meest moderne boekhoudsoftware. Hierdoor kunnen wij voor u de periodieke controles over uw administratie uitvoeren maar ook de volledige boekhouding voeren. Wilt u liever zelf uw boekhouding voeren maar heeft u een steuntje in de rug nodig? De specialisten van DBF Finance B.V. ondersteunen u op de vlakken waar u de ondersteuning wenst.ALTIJD EN OVERAL INZICHT!MET DBF ONLINE HEEFT U DAT INZICHT.DBF Finance B.V. is gecertificeerd partner van Exact Online. Hierdoor kunnen wij onze clienten direct koppelen op ons platform en bestaande administraties eenvoudig overzetten naar onze omgeving. Door onze certificering kunnen wij u op vrijwel elk vlak bijstaan om uw administratie naar het hoogste niveau te brengen. Daarnaast heeft u als client ook nog een aantrekkelijk voordeel.""",http://www.twitter.com/dbffinance,https://www.linkedin.com/company/10300637,5.1756213,51.583422,,,,,,,,,,,,
Pollux Accounting & Advisering ,34023,Zuidhorn,9801VR  ,Polluxstraat ,http://www.pollux-advies.nl,accounting@pollux-advies.nl,06-14962640,managerial,None,b'U wilt uw administratie uitbesteden? Pollux Accounting &amp; Advisering streeft er naar om het aantal handmatige boekingen te beperken door de focus te leggen op automatisering digitalisering \xc3\xa9n professionalisering van uw administratie. Wij werken hierbij zo veel mogelijk online en met u samen. Dit houdt in dat onze tijd maar ook \xc3\xbaw tijd op effici\xc3\xabnte en effectieve wijze wordt ingezet. Zo houden wij de kosten voor het uitbesteden van uw administratie ook laag.\r\n',,,6.4152732,53.2474933,,,,,,,,,,,,
Admana Administratiekantoor,34144,Nieuwegein,3433 ZP,Wierselaan,http://www.admana.nl/,info@admana.nl,648470586,managerial,None,b'',,https://nl.linkedin.com/in/addiepeek,5.0990605,52.0088896,,,,,,,,,,,,
Accountantskantoor Van Herwaarden B.V.,33667,KERKDRIEL,5331 CE,Kerkstraat,www.herwaarden-accountants.nl,e.weijgertze@herwaarden-accountants.nl,0418-631992,accounting,None,b'Van Herwaarden Accountants Belastingadviseurs &amp; Administratieve Services is een kantoor waar&nbsp;persoonlijke aandacht en betrokkenheid geen reclame-uiting is maar het&nbsp;vertrekpunt voor&nbsp;de dienstverlening. Bij de uitvoering van onze werkzaamheden staan de wensen van de cli\xc3\xabnt centraal! Bij&nbsp;ons&nbsp;kunt u&nbsp;terecht voor&nbsp;reguliere werkzaamheden zoals het periodiek verwerken van financi\xc3\xable administraties het samenstellen&nbsp;of beoordelen&nbsp;van jaarrekeningen het verzorgen van de salaris- en personeelsadministratie het verzorgen van de aangifte inkomstenbelasting en het verzorgen van de aangifte vennootschapsbelasting. Maar ook kunnen wij u adviseren op fiscaal en bedrijfseconomisch terrein. Voor juridische vraagstukken werken wij nauw samen met enkele zeer bedreven juristen vanuit ons netwerk.',,,5.3378824,51.7714837,,,,,,,,,,,,
IJsselmere B.V.,33966,Almere,1333XP,Reijmersbeekstraat,www.ijsselmere.nl,info@ijsselmere.nl,06-10011570,managerial,None,b'<b>IJsselmere uw administratiekantoor in de regio Almere Lelystad en Harderwijk</b>IJsselmere is een innovatief administratiekantoor gevestigd &nbsp;in Almere en Harderwijk waar&nbsp;een groep ervaren professionals de ondernemer ondersteunt met het beheren van de financi\xc3\xable administratie.Die ondersteuning&nbsp;gaat verder dan het standaard administratiekantoor. IJsselmere wilt&nbsp;de ondernemer graag \xe2\x80\x9contzorgen\xe2\x80\x9d en &nbsp;proactief helpen in zijn of haar plannen.<b>Zoekt u een betrouwbare en goedkope boekhouder?</b>Door verregaande automatisering zijn wij als geen ander in staat goedkoop en uiterst betrouwbaar uw administratie te verwerken. Door te werken met de beste en&nbsp;de meest geavanceerde on-line boekhoud programma\xe2\x80\x99s zoals Twinfield kunnen wij u helpen tegen zeer scherpe tarieven.<b>Online boekhouden met persoonlijke&nbsp;aandacht</b>Wij staan dicht bij onze klanten wij kennen ze door en door en weten wat er van ons verwacht wordt. Altijd denken vanuit oplossingen altijd het belang van u als klant voorop.\r\n',www.twitter.com/IJsselmere,www.linkedin.com/company/9502676,5.225816,52.337223,,,,,,,,,,,,
MONI,34051,Putten,3882 TS,Midden Engweg,http://www.moni.nl,info@moni.nl,088-1414700,managerial,None,b'<strong>Gemak inzicht en effici\xc3\xabntie</strong>MONI is een unieke combinatie van een geautomatiseerd boekhoudpakket en persoonlijke coaching voor je financi\xc3\xable administratie. Ze neemt met behulp van geavanceerde ICT-oplossingen administratieve taken van je over en biedt je realtime inzicht in de financi\xc3\xable situatie van je onderneming. Je persoonlijke coach en controller helpen je met het MONItoren en interpreteren van de cijfers maar ook met het effici\xc3\xabnt en optimaal inrichten van de \xef\xac\x81nanci\xc3\xable processen en benodigde stuurinformatie. Kortom MONI ontzorgt en geeft je weer de tijd om te doen wat je het liefst doet: ondernemen!',https://twitter.com/moni_update,https://www.linkedin.com/company/moni-meer-ondernemen-nieuwe-inzichten,5.5998663,52.2510135,,,,,,,,,,,,
B&P Performance Group,21008,EDE GLD,6711PL,Stationsweg,www.bpperformancegroup.com,info@bpperformancegroup.com,0318 - 657 000,accounting,Postbus 8080,b'B&amp;P Performance Group biedt het totaalpakket voor een succesvolle onderneming. Natuurlijk kunt u bij ons terecht voor de reguliere accountantsdiensten maar B&amp;P gaat veel verder dan dat. U kunt vertrouwen op een breed scala aan diensten specialisten en producten. Dankzij onze innovatieve oplossingen beschikt u altijd en overal over actuele managementinformatie financi\xc3\xable en operationele data en HR-informatie. Maar daar blijft het niet bij. Onze adviseurs kunnen u helpen met de interpretatie van deze gegevens zodat u uw bedrijfsvoering kunt optimaliseren.',https://twitter.com/bpperformancegr,https://www.linkedin.com/company/b&p-accountants-en-advies,5.669981667,52.03544444,,,,,,,,,,,,
Van der Hoeven-Kleywegt Administraties,23097,NAALDWIJK,2671BV,Smederijstraat,https://www.vdhkadministraties.nl,info@vdhkadministraties.nl,0174 627 246,managerial,Postbus 369,"b'Een modern administratiekantoor met een ouderwets goede service.Al meer dan 12 jaar ontzorgen wij midden- en klein bedrijf door het voeren van een gezonde administratie waardoor de ondernemer zich kan focusen op zijn vakgebied.Bij v.d. Hoeven ~Kleywegt administraties is persoonlijk betrokken bij al onze cli\xc3\xabnten onder het motto ""Ondernemen doe je samen"".Door het brede dienstpakket kunt u het beste even op onze website kijken of direct contact met ons opnemen.\xc2\xa0'",https://twitter.com/vdhkdotnl,https://www.linkedin.com/company/v-d--hoeven-kleywegt-administraties,4.210742745,52.00269804,,,,,,,,,,,,
De Poolleeuw,22960,DELFT,2614AM,Meermanstraat,www.depoolleeuw.nl,info@depoolleeuw.nl,015-2159678,managerial,Meermanstraat 140,b'',@DePoolleeuw,,4.333532632,52.01530526,,,,,,,,,,,,
Milus Administraties en Belastingen,33458,Dongen,5102GD,Schoolsticht,www.milusadministraties.nl,info@milusadministraties.nl,0162-692114,managerial,None,b'Krijgt u bij uw huidige boekhouder te weinig begeleiding en advies? Bent u op zoek naar een goede administrateur waar service voorop staat? Neem dan contact met ons op! Wij zijn een administratiekantoor met een persoonlijke service waar afspraken nagekomen worden! Waar uw administratie slechts een startpunt is en geen eindproduct.  Binnen de actuele regelgeving verwerken wij uw administraties en belastingaangiften zodat u inzicht heeft en houdt in uw financi\xc3\xable administratie. Dit alles doen wij voor een relatief lage vergoeding waarbij wij vooraf duidelijke vaste prijsafspraken met u maken zodat u weet waar u aan toe bent.  Milus Administraties en Belastingen kan uw volledige boekhouding voeren of slechts periodiek controleren. Wij kunnen al uw fiscale aangiften periodieke rapportages en personeelsadministratie verzorgen ongeacht of u nu een eenmanszaak vennootschap onder firma maatschap stichting vereniging of een besloten vennootschap heeft. Wij zijn de administrateur bij u op locatie via online boekhouden of vanuit ons kantoor in Dongen.  Milus Administraties en Belastingen staat garant voor een:  Heldere service \xe2\x80\xa2 U bepaalt zelf waar u ons voor inhuurt: voor uw hele administratie of voor een gedeelte ervan. De keuze is aan u. \xe2\x80\xa2 Wij hanteren lage tarieven die wij van te voren met u bespreken. Geen verrassingen dus: u weet vooraf waar u aan toe bent.  Persoonlijke service \xe2\x80\xa2 Wij denken met u mee en signaleren zaken die voor u belangrijk zijn.  \xe2\x80\xa2 Bij ons bent u geen nummer maar een klant. Die wij op een persoonlijke manier met uw administratie begeleiden!  Om de kwaliteit van onze dienstverlening te blijven garanderen volgen wij constant workshops opleidingen en vakliteratuur zodat onze kennis vergroot en verdiept wordt. Dankzij ruim 17 jaar ervaring in de accountancy en boekhouding kennen wij het klappen van de zweep. Wij zijn op de hoogte van de actuele regelgeving en werken dagelijks voor vele klanten in het MKB en een groot aantal ZZP-ers.\r\n',http://twitter.com/MilusDongen,http://www.linkedin.com/company/milus-administraties-en-belastingen,4.9419161,51.6359068,,,,,,,,,,,,
